Compact-ID: "0006597" WaferID(Filename): "210913_K4_1" Date: "19.12.2021" Touchdowns: " 3" Current(mA): "50" Nr_of_Points: "342" Comment: "" HTTS: "2"
X,Y,R1,R2,R3
-15250.00000000,29250.00000000,1.07725906,1.07877839,1.06621122
-10750.00000000,29250.00000000,1.09515047,1.04509056,1.07128584
-6250.00000000,29250.00000000,1.10819018,1.09452426,1.08977580
-1750.00000000,29250.00000000,1.05860662,1.11613905,1.11809433
2750.00000000,29250.00000000,1.10725522,1.11370254,1.10941494
7250.00000000,29250.00000000,1.04462504,1.04371798,1.05040276
11750.00000000,29250.00000000,1.05051029,1.05858862,1.05993640
16250.00000000,29250.00000000,0.98488140,1.04110622,1.04641581
20750.00000000,29250.00000000,1.00443840,1.01609683,1.01941597
25250.00000000,29250.00000000,0.95210457,0.94855458,0.95155686
29750.00000000,29250.00000000,0.94889545,0.95138180,0.94966406
34250.00000000,29250.00000000,0.88125497,0.95465595,0.88662332
38750.00000000,29250.00000000,0.63169080,0.83032835,0.87301517
43250.00000000,29250.00000000,1.31299055,0.81104147,0.81284189
47750.00000000,29250.00000000,0.81206626,0.80798084,0.79832035
52250.00000000,29250.00000000,0.79223716,0.77806348,0.77698374
56750.00000000,29250.00000000,0.83308184,0.85335630,0.85232806
-28750.00000000,33750.00000000,3.66669822,3.68568945,3.66791630
-24250.00000000,33750.00000000,2.01145291,1.98849964,1.98948240
-19750.00000000,33750.00000000,1.10646427,1.13529778,1.13335800
-15250.00000000,33750.00000000,1.06984115,1.03794909,1.07860184
-10750.00000000,33750.00000000,1.08232105,1.08447802,1.08891010
-6250.00000000,33750.00000000,1.08497429,1.09340107,1.08713758
-1750.00000000,33750.00000000,1.07678747,1.08061588,1.06577623
2750.00000000,33750.00000000,1.09282577,1.06751597,1.09107649
7250.00000000,33750.00000000,1.07565165,1.07886899,1.07774925
11750.00000000,33750.00000000,1.05907428,1.06079328,1.06090415
16250.00000000,33750.00000000,1.03521836,1.02014887,1.02530503
20750.00000000,33750.00000000,1.00448275,1.00769126,1.00295866
25250.00000000,33750.00000000,0.98234767,0.99554956,0.98648447
29750.00000000,33750.00000000,0.95671862,0.95883763,0.96037483
34250.00000000,33750.00000000,0.92448473,0.77953392,0.85750532
38750.00000000,33750.00000000,0.89698160,0.89794195,0.89250702
43250.00000000,33750.00000000,0.85587740,0.82779205,0.85599566
47750.00000000,33750.00000000,0.78517789,0.83053780,0.82319230
52250.00000000,33750.00000000,0.79589361,0.77496630,0.77567750
56750.00000000,33750.00000000,0.94011623,0.95252907,0.94796103
61250.00000000,33750.00000000,2.49950504,2.46222901,2.47736359
-28750.00000000,38250.00000000,3.39949155,3.27183056,3.25349164
-24250.00000000,38250.00000000,1.73301303,1.75056791,1.75494659
-19750.00000000,38250.00000000,1.11349523,1.10625219,1.10085094
-15250.00000000,38250.00000000,1.01741302,1.01937985,1.07608640
-10750.00000000,38250.00000000,1.03283572,1.06139290,1.07893717
-6250.00000000,38250.00000000,1.07416940,1.08996844,1.02870226
-1750.00000000,38250.00000000,1.02635574,1.05537295,1.08548903
2750.00000000,38250.00000000,1.03592992,1.07583928,1.05980814
7250.00000000,38250.00000000,1.05496752,1.01937997,1.06423235
11750.00000000,38250.00000000,1.03915346,1.04220212,1.04072773
16250.00000000,38250.00000000,1.01402354,1.01714909,1.01743793
20750.00000000,38250.00000000,1.01978350,0.99312639,0.99313998
25250.00000000,38250.00000000,0.96010286,0.91807079,0.98676330
29750.00000000,38250.00000000,0.95707911,0.96128619,0.94542831
34250.00000000,38250.00000000,0.92906255,0.93339556,0.90611196
38750.00000000,38250.00000000,0.89120823,0.88453859,0.84861875
43250.00000000,38250.00000000,0.88750243,0.84921443,0.85729212
47750.00000000,38250.00000000,0.82153344,0.81990153,0.79554242
52250.00000000,38250.00000000,0.71556890,0.78052425,0.78214389
56750.00000000,38250.00000000,0.63172823,1.06844831,1.08335209
61250.00000000,38250.00000000,2.58177781,2.64812469,2.65177226
-28750.00000000,42750.00000000,3.08752275,3.09642982,3.09485245
-24250.00000000,42750.00000000,1.52218032,1.52451813,1.56847095
-19750.00000000,42750.00000000,1.02731586,1.07968116,1.07784224
-15250.00000000,42750.00000000,1.06430924,1.06976855,1.06047845
-10750.00000000,42750.00000000,1.06860816,1.07305777,1.05446899
-6250.00000000,42750.00000000,1.05801165,1.05424511,1.06463790
-1750.00000000,42750.00000000,1.08015072,1.02789998,1.05605149
