0.00000000	0.00000000	1.62946463	1.67666042	1.68354774
-4500.00000000	0.00000000	1.60377312	1.73328888	1.73856318
-9000.00000000	0.00000000	1.92839897	1.79927349	2.15024996
-13500.00000000	0.00000000	1.92835021	1.85404205	1.89284825
-18000.00000000	0.00000000	1.93516326	1.93743432	1.95526552
-22500.00000000	0.00000000	1.99587178	1.99893594	1.98599827
-27000.00000000	0.00000000	1.99436677	1.97292113	1.97992015
-31500.00000000	0.00000000	2.00781751	2.00812531	2.00744963
-36000.00000000	0.00000000	2.01925707	2.01138592	2.02361155
-40500.00000000	0.00000000	1.99085414	1.96635354	1.98715031
-45000.00000000	0.00000000	1.87107134	1.86963868	1.87981439
4500.00000000	4500.00000000	1.65379763	1.64096022	1.67208493
0.00000000	4500.00000000	1.78624678	1.78708613	1.78935206
-4500.00000000	4500.00000000	1.87891412	1.88049448	1.88460827
-9000.00000000	4500.00000000	1.96186078	1.96816373	1.96698344
-13500.00000000	4500.00000000	1.96337664	1.99981511	1.98536336
-18000.00000000	4500.00000000	2.06470203	2.06447387	2.06004453
-22500.00000000	4500.00000000	2.12209630	2.12532067	2.12766623
-27000.00000000	4500.00000000	2.10673523	2.09424734	2.08000684
-31500.00000000	4500.00000000	2.08778310	2.09313226	2.10117078
-36000.00000000	4500.00000000	2.10025096	2.10856485	2.11386037
-40500.00000000	4500.00000000	2.11621928	2.12326407	2.12835503
-45000.00000000	4500.00000000	2.09711361	2.09680772	2.09522343
-49500.00000000	4500.00000000	2.02540302	2.02470016	2.02331519
9000.00000000	9000.00000000	1.63285899	1.64301527	1.63789153
4500.00000000	9000.00000000	1.71155500	1.71270895	1.74197829
0.00000000	9000.00000000	1.79728043	1.81652129	1.80946279
-4500.00000000	9000.00000000	1.90450597	1.90856183	1.88100100
-9000.00000000	9000.00000000	1.99367309	1.99071956	2.00420547
-13500.00000000	9000.00000000	2.07162905	2.07184887	2.06918788
-18000.00000000	9000.00000000	2.14749646	2.14344239	2.13998985
-22500.00000000	9000.00000000	2.10069489	2.11441898	2.12495637
-27000.00000000	9000.00000000	2.21919823	2.22142982	2.21922970
-31500.00000000	9000.00000000	2.22568798	2.22907615	2.22537875
-36000.00000000	9000.00000000	2.19961929	2.19909048	2.19958901
-40500.00000000	9000.00000000	2.17820001	2.18996334	2.19058394
-45000.00000000	9000.00000000	2.13176560	2.14742136	2.14890242
-49500.00000000	9000.00000000	2.12589383	2.12592626	2.12466812
-54000.00000000	9000.00000000	2.00690961	1.98316348	1.97926772
13500.00000000	13500.00000000	1.60002315	1.60310364	1.60183811
9000.00000000	13500.00000000	1.67168379	1.67777276	1.67772043
4500.00000000	13500.00000000	1.73068178	1.73565149	1.73440611
0.00000000	13500.00000000	1.86194944	1.86546075	1.87579906
-4500.00000000	13500.00000000	1.90309668	1.90758455	1.91188180
-9000.00000000	13500.00000000	1.98123860	1.99751198	2.01197433
-13500.00000000	13500.00000000	2.08362651	2.07256031	2.06693149
-18000.00000000	13500.00000000	2.17303491	2.18376756	2.18198037
-22500.00000000	13500.00000000	2.20192719	2.20319200	2.19919991
-27000.00000000	13500.00000000	2.24846268	2.24658084	2.21495700
-31500.00000000	13500.00000000	2.21988010	2.21868181	2.22616506
-36000.00000000	13500.00000000	2.23246431	2.23239470	2.23151970
-40500.00000000	13500.00000000	2.23386598	2.23141742	2.22565389
-45000.00000000	13500.00000000	2.19476175	2.19708991	2.22366667
-49500.00000000	13500.00000000	2.18939042	2.19032645	2.15348458
-54000.00000000	13500.00000000	2.12446952	2.12459016	2.12817645
-58500.00000000	13500.00000000	2.04510522	2.03520513	2.02841520
18000.00000000	18000.00000000	1.54444730	1.55542564	1.54674804
13500.00000000	18000.00000000	1.60833180	1.61277008	1.60909724
9000.00000000	18000.00000000	1.67969716	1.68647707	1.69099557
4500.00000000	18000.00000000	1.78165984	1.78057516	1.77993441
0.00000000	18000.00000000	1.84107089	1.82948005	1.83917475
-4500.00000000	18000.00000000	1.92622936	1.92640507	1.93263829
-9000.00000000	18000.00000000	1.99363840	1.99460924	1.99278402
-13500.00000000	18000.00000000	2.08693910	2.06754851	2.06829834
-18000.00000000	18000.00000000	2.15614963	2.15849876	2.16033006
-22500.00000000	18000.00000000	2.24616623	2.23532629	2.22175932
-27000.00000000	18000.00000000	2.21139979	2.21796393	2.22155237
-31500.00000000	18000.00000000	2.25614190	2.22556639	2.24372673
-36000.00000000	18000.00000000	2.25527096	2.25332093	2.25271487
-40500.00000000	18000.00000000	2.23620486	2.25035787	2.24985266
-45000.00000000	18000.00000000	2.24296379	2.24888420	2.24964070
-49500.00000000	18000.00000000	2.23099160	2.21587348	2.21291852
-54000.00000000	18000.00000000	2.19796276	2.19662452	2.19839716
-58500.00000000	18000.00000000	2.15601206	2.15638375	2.15723467
-63000.00000000	18000.00000000	2.10974860	2.11094093	2.11505842
18000.00000000	22500.00000000	1.56015909	1.56121397	1.56659591
13500.00000000	22500.00000000	1.61534023	1.61604488	1.61556399
9000.00000000	22500.00000000	1.65954053	1.66056216	1.65237415
4500.00000000	22500.00000000	1.74917531	1.76407921	1.76234424
0.00000000	22500.00000000	1.82469583	1.82397938	1.82359803
-4500.00000000	22500.00000000	1.91756785	1.91877508	1.91954279
-9000.00000000	22500.00000000	2.01650357	2.01985598	2.00708842
-13500.00000000	22500.00000000	2.06223202	2.04853010	2.06097770
-18000.00000000	22500.00000000	2.14845419	2.15627146	2.15315938
-22500.00000000	22500.00000000	2.20026183	2.20367241	2.20368838
