2700.00000000	2250.00000000	1.73495603	1.73176026	1.72634554

4200.00000000	2250.00000000	1.72138941	1.71618485	1.71625674

5700.00000000	2250.00000000	1.70067942	1.69477582	1.69279575

7200.00000000	2250.00000000	1.69161129	1.68829823	1.68132889

8700.00000000	2250.00000000	1.67925298	1.67711520	1.65302837

10200.00000000	2250.00000000	1.65512645	1.65131140	1.64774501

11700.00000000	2250.00000000	1.64780784	1.65282381	1.64160407

13200.00000000	2250.00000000	1.64476502	1.64173710	1.63856971

14700.00000000	2250.00000000	1.63488257	1.63852668	1.63598359

16200.00000000	2250.00000000	1.63115036	1.62950349	1.63419414

17700.00000000	2250.00000000	1.63487172	1.63124037	1.64270222

19200.00000000	2250.00000000	1.64676869	1.64894927	1.64758396

20700.00000000	2250.00000000	1.65836263	1.65714502	1.65716529

22200.00000000	2250.00000000	1.68216646	1.68238246	1.66912925

23700.00000000	2250.00000000	1.69539702	1.69439721	1.69937348

25200.00000000	2250.00000000	1.72337282	1.72259879	1.72819686

26700.00000000	2250.00000000	1.75475442	1.75470221	1.75419867

28200.00000000	2250.00000000	1.79043508	1.78805864	1.78929377

29700.00000000	2250.00000000	1.82250512	1.82071507	1.82218695

-300.00000000	3750.00000000	1.82354999	1.82110941	1.81597865

1200.00000000	3750.00000000	1.82235968	1.82060671	1.81096661

2700.00000000	3750.00000000	1.79045033	1.79465616	1.80122948

4200.00000000	3750.00000000	1.79281020	1.78484738	1.78919530

5700.00000000	3750.00000000	1.75630355	1.76143444	1.75292087

7200.00000000	3750.00000000	1.74369431	1.73885155	1.73016334

8700.00000000	3750.00000000	1.71815073	1.71876216	1.70910847

10200.00000000	3750.00000000	1.71211088	1.70547295	1.69861436

11700.00000000	3750.00000000	1.69954836	1.69818354	1.69492102

13200.00000000	3750.00000000	1.67938948	1.68553603	1.67674839

14700.00000000	3750.00000000	1.68228185	1.67784846	1.67743087

16200.00000000	3750.00000000	1.66892076	1.66964424	1.66631329

17700.00000000	3750.00000000	1.67879069	1.67665136	1.67481399

19200.00000000	3750.00000000	1.67989779	1.67838418	1.67677963

20700.00000000	3750.00000000	1.69328356	1.69060254	1.69403827

22200.00000000	3750.00000000	1.70555353	1.70415354	1.70193243

23700.00000000	3750.00000000	1.73052120	1.72731626	1.72915626

25200.00000000	3750.00000000	1.75689316	1.75406003	1.76277983

26700.00000000	3750.00000000	1.78408396	1.78114378	1.78339458

28200.00000000	3750.00000000	1.81725800	1.81760013	1.81595290

29700.00000000	3750.00000000	1.85142517	1.85017765	1.85306239

31200.00000000	3750.00000000	1.88570631	1.88526869	1.88564670

32700.00000000	3750.00000000	1.90626168	1.90599930	1.90562725

-4800.00000000	5250.00000000	1.93142831	1.92354417	1.93183148

-3300.00000000	5250.00000000	1.91894412	1.92324924	1.92292595

-1800.00000000	5250.00000000	1.89721298	1.88965082	1.88432896

-300.00000000	5250.00000000	1.87916613	1.87577271	1.86597741

1200.00000000	5250.00000000	1.86114252	1.86020768	1.84309852

2700.00000000	5250.00000000	1.83719254	1.82976866	1.82636178

4200.00000000	5250.00000000	1.80882108	1.80960953	1.80219066

5700.00000000	5250.00000000	1.79709172	1.77950859	1.77591801

7200.00000000	5250.00000000	1.76603472	1.77320898	1.76879656

8700.00000000	5250.00000000	1.75219166	1.75027311	1.75085056

10200.00000000	5250.00000000	1.73225594	1.73566604	1.72804368

11700.00000000	5250.00000000	1.72112131	1.72174180	1.72132158

13200.00000000	5250.00000000	1.70551062	1.70078564	1.70240843

14700.00000000	5250.00000000	1.69587922	1.69594705	1.69346404

16200.00000000	5250.00000000	1.69616532	1.69333827	1.69050908

17700.00000000	5250.00000000	1.68898058	1.68710971	1.68627656

19200.00000000	5250.00000000	1.69815850	1.69291461	1.69640517

20700.00000000	5250.00000000	1.70446110	1.70247567	1.70169795

22200.00000000	5250.00000000	1.71956468	1.71820724	1.71796811

23700.00000000	5250.00000000	1.74594665	1.74448609	1.75317872

25200.00000000	5250.00000000	1.77140248	1.77027512	1.77084374

26700.00000000	5250.00000000	1.79811287	1.79648280	1.79505622

28200.00000000	5250.00000000	1.82956076	1.82852852	1.82997477

29700.00000000	5250.00000000	1.86710024	1.86517537	1.86422443

31200.00000000	5250.00000000	1.90043366	1.90017462	1.89729977

32700.00000000	5250.00000000	1.92598772	1.92316329	1.92474616

34200.00000000	5250.00000000	1.95294261	1.95329320	1.95108497

35700.00000000	5250.00000000	1.97419739	1.97664094	1.97208798

37200.00000000	5250.00000000	1.99163616	1.99305069	1.98896706

-6300.00000000	6750.00000000	1.99164236	1.98643458	1.98788500

-4800.00000000	6750.00000000	1.97259009	1.97611785	1.96593964

-3300.00000000	6750.00000000	1.93418479	1.93010163	1.93610775

-1800.00000000	6750.00000000	1.90903199	1.92144537	1.91771531

-300.00000000	6750.00000000	1.91026807	1.90293431	1.89216959

1200.00000000	6750.00000000	1.87958229	1.88317132	1.88362992

2700.00000000	6750.00000000	1.85901332	1.85435963	1.85277593

4200.00000000	6750.00000000	1.82832348	1.82882380	1.81606746

5700.00000000	6750.00000000	1.80939496	1.80250335	1.79109180

7200.00000000	6750.00000000	1.78281045	1.77984178	1.77324092

8700.00000000	6750.00000000	1.76664114	1.76096034	1.75322890

10200.00000000	6750.00000000	1.74130380	1.73461223	1.73330808

11700.00000000	6750.00000000	1.72397423	1.72328830	1.71630812

